Nombre Completo;Cuenta;Telefono;Plan;Descripcion Plan;Simcard
PRECISOGPS S.A.S.;1.20013636;994185939;BP-9980;CLARO EMPRESA BAM 1.5;'8959301000933072139'
PRECISOGPS S.A.S.;1.20013636;993463794;BP-9980;CLARO EMPRESA BAM 1.5;'8959301000927526850'
PRECISOGPS S.A.S.;1.20013636;993577804;BP-9980;CLARO EMPRESA BAM 1.5;'8959301000927526868'
PRECISOGPS S.A.S.;1.20013636;993593234;BP-9980;CLARO EMPRESA BAM 1.5;'8959301000927527395'
PRECISOGPS S.A.S.;1.20013636;993638864;BP-9980;CLARO EMPRESA BAM 1.5;'8959301000927527403'
PRECISOGPS S.A.S.;1.20013636;993669344;BP-9980;CLARO EMPRESA BAM 1.5;'8959301000927527411'
PRECISOGPS S.A.S.;1.20013636;999539577;BP-9980;CLARO EMPRESA BAM 1.5;'8959301000971875302'
PRECISOGPS S.A.S.;1.20013636;999539730;BP-9980;CLARO EMPRESA BAM 1.5;'8959301000971875310'
PRECISOGPS S.A.S.;1.20013636;999540183;BP-9980;CLARO EMPRESA BAM 1.5;'8959301000971875328'
PRECISOGPS S.A.S.;1.20013636;999542445;BP-9980;CLARO EMPRESA BAM 1.5;'8959301000971875351'
PRECISOGPS S.A.S.;1.20013636;999542962;BP-9980;CLARO EMPRESA BAM 1.5;'8959301000971875369'
PRECISOGPS S.A.S.;1.20013636;999543715;BP-9980;CLARO EMPRESA BAM 1.5;'8959301000971875377'
PRECISOGPS S.A.S.;1.20013636;999543931;BP-9980;CLARO EMPRESA BAM 1.5;'8959301000971875385'
PRECISOGPS S.A.S.;1.20013636;999544067;BP-9980;CLARO EMPRESA BAM 1.5;'8959301000971875393'
PRECISOGPS S.A.S.;1.20013636;986847107;BP-9980;CLARO EMPRESA BAM 1.5;'8959301000971874917'
PRECISOGPS S.A.S.;1.20013636;986848745;BP-9980;CLARO EMPRESA BAM 1.5;'8959301000971874925'
PRECISOGPS S.A.S.;1.20013636;986849383;BP-9980;CLARO EMPRESA BAM 1.5;'8959301000971874941'
PRECISOGPS S.A.S.;1.20013636;986850358;BP-9980;CLARO EMPRESA BAM 1.5;'8959301000971874958'
PRECISOGPS S.A.S.;1.20013636;986850666;BP-9980;CLARO EMPRESA BAM 1.5;'8959301000971874966'
PRECISOGPS S.A.S.;1.20013636;986858666;BP-9980;CLARO EMPRESA BAM 1.5;'8959301000971875047'
PRECISOGPS S.A.S.;1.20013636;986859243;BP-9980;CLARO EMPRESA BAM 1.5;'8959301000971875054'
PRECISOGPS S.A.S.;1.20013636;986859437;BP-9980;CLARO EMPRESA BAM 1.5;'8959301000971875062'
PRECISOGPS S.A.S.;1.20013636;993676123;BP-9980;CLARO EMPRESA BAM 1.5;'8959301000971875070'
PRECISOGPS S.A.S.;1.20013636;993692271;BP-9980;CLARO EMPRESA BAM 1.5;'8959301000971875088'
PRECISOGPS S.A.S.;1.20013636;993641046;BP-9980;CLARO EMPRESA BAM 1.5;'8959301001045629402'
PRECISOGPS S.A.S.;1.20013636;994152827;BP-9980;CLARO EMPRESA BAM 1.5;'8959301001045655399'
PRECISOGPS S.A.S.;1.20013636;994159654;BP-9980;CLARO EMPRESA BAM 1.5;'8959301001045655373'
PRECISOGPS S.A.S.;1.20013636;994163451;BP-9980;CLARO EMPRESA BAM 1.5;'8959301001045629386'
PRECISOGPS S.A.S.;1.20013636;993641105;BP-9980;CLARO EMPRESA BAM 1.5;'8959301001045629410'
PRECISOGPS S.A.S.;1.20013636;993642544;BP-9980;CLARO EMPRESA BAM 1.5;'8959301001045629444'
PRECISOGPS S.A.S.;1.20013636;994164411;BP-9980;CLARO EMPRESA BAM 1.5;'8959301001045629394'
PRECISOGPS S.A.S.;1.20013636;990325514;BP-9980;CLARO EMPRESA BAM 1.5;'8959301001090344261'
PRECISOGPS S.A.S.;1.20013636;994882514;BP-9980;CLARO EMPRESA BAM 1.5;'8959301001081632617'
PRECISOGPS S.A.S.;1.20013636;988516674;BP-9980;CLARO EMPRESA BAM 1.5;'8959301001081632625'
PRECISOGPS S.A.S.;1.20013636;989033674;BP-9980;CLARO EMPRESA BAM 1.5;'8959301001081632633'
PRECISOGPS S.A.S.;1.20013636;994883524;BP-9980;CLARO EMPRESA BAM 1.5;'8959301001081632641'
PRECISOGPS S.A.S.;1.20013636;997869644;BP-9980;CLARO EMPRESA BAM 1.5;'8959301001081632674'
PRECISOGPS S.A.S.;1.20013636;991933924;BP-9980;CLARO EMPRESA BAM 1.5;'8959301001081632682'
PRECISOGPS S.A.S.;1.20013636;997139364;BP-9980;CLARO EMPRESA BAM 1.5;'8959301001081632690'
PRECISOGPS S.A.S.;1.20013636;993685534;BP-9980;CLARO EMPRESA BAM 1.5;'8959301001081632708'
PRECISOGPS S.A.S.;1.20013636;997528754;BP-9980;CLARO EMPRESA BAM 1.5;'8959301001081632716'
PRECISOGPS S.A.S.;1.20013636;997756234;BP-9980;CLARO EMPRESA BAM 1.5;'8959301001081632724'
PRECISOGPS S.A.S.;1.20013636;997086904;BP-9980;CLARO EMPRESA BAM 1.5;'8959301001081632732'
PRECISOGPS S.A.S.;1.20013636;997607294;BP-9980;CLARO EMPRESA BAM 1.5;'8959301001081632740'
PRECISOGPS S.A.S.;1.20013636;992458234;BP-9980;CLARO EMPRESA BAM 1.5;'8959301001081632757'
PRECISOGPS S.A.S.;1.20013636;989402974;BP-9980;CLARO EMPRESA BAM 1.5;'8959301001090344287'
PRECISOGPS S.A.S.;1.20013636;983636978;BP-9980;CLARO EMPRESA BAM 1.5;'8959301001090344295'
PRECISOGPS S.A.S.;1.20013636;982638969;BP-9980;CLARO EMPRESA BAM 1.5;'8959301001090344253'
PRECISOGPS S.A.S.;1.20013636;993601374;BP-9980;CLARO EMPRESA BAM 1.5;'8959301001081632609'
PRECISOGPS S.A.S.;1.20013636;980514454;BP-9980;CLARO EMPRESA BAM 1.5;'8959301001090344451'
PRECISOGPS S.A.S.;1.20013636;988030114;BP-9980;CLARO EMPRESA BAM 1.5;'8959301001090344402'
PRECISOGPS S.A.S.;1.20013636;982650724;BP-9980;CLARO EMPRESA BAM 1.5;'8959301001090344386'
PRECISOGPS S.A.S.;1.20013636;989037224;BP-9980;CLARO EMPRESA BAM 1.5;'8959301001090344311'
PRECISOGPS S.A.S.;1.20013636;993603734;BP-9980;CLARO EMPRESA BAM 1.5;'8959301001090344303'
PRECISOGPS S.A.S.;1.20013636;997723694;BP-9980;CLARO EMPRESA BAM 1.5;'8959301001090344329'
PRECISOGPS S.A.S.;1.20013636;999660194;BP-9980;CLARO EMPRESA BAM 1.5;'8959301001090344444'
PRECISOGPS S.A.S.;1.20013636;991376962;BP-9980;CLARO EMPRESA BAM 1.5;'8959301001061368380'
PRECISOGPS S.A.S.;1.20013636;997450704;BP-9980;CLARO EMPRESA BAM 1.5;'8959301001090344410'
PRECISOGPS S.A.S.;1.20013636;997096750;BP-9980;CLARO EMPRESA BAM 1.5;'8959301001090344279'
PRECISOGPS S.A.S.;1.20013636;997513964;BP-9980;CLARO EMPRESA BAM 1.5;'8959301001090344436'
PRECISOGPS S.A.S.;1.20013636;980389514;BP-9980;CLARO EMPRESA BAM 1.5;'8959301000928332217'
PRECISOGPS S.A.S.;1.20013636;991418854;BP-9980;CLARO EMPRESA BAM 1.5;'8959301000928331938'
PRECISOGPS S.A.S.;1.20013636;982624004;BP-9980;CLARO EMPRESA BAM 1.5;'8959301000928331813'
PRECISOGPS S.A.S.;1.20013636;981809534;BP-9980;CLARO EMPRESA BAM 1.5;'8959301000928331771'
PRECISOGPS S.A.S.;1.20013636;990423674;BP-9980;CLARO EMPRESA BAM 1.5;'8959301000928331912'
PRECISOGPS S.A.S.;1.20013636;990421394;BP-9980;CLARO EMPRESA BAM 1.5;'8959301000928331904'
PRECISOGPS S.A.S.;1.20013636;997802654;BP-9980;CLARO EMPRESA BAM 1.5;'8959301000928332159'
PRECISOGPS S.A.S.;1.20013636;999409984;BP-9980;CLARO EMPRESA BAM 1.5;'8959301000928332167'
PRECISOGPS S.A.S.;1.20013636;980459444;BP-9980;CLARO EMPRESA BAM 1.5;'8959301000928331706'
PRECISOGPS S.A.S.;1.20013636;990523394;BP-9980;CLARO EMPRESA BAM 1.5;'8959301000928331920'
PRECISOGPS S.A.S.;1.20013636;992477984;BP-9980;CLARO EMPRESA BAM 1.5;'8959301000928331961'
PRECISOGPS S.A.S.;1.20013636;980662604;BP-9980;CLARO EMPRESA BAM 1.5;'8959301000928331722'
PRECISOGPS S.A.S.;1.20013636;993415484;BP-9980;CLARO EMPRESA BAM 1.5;'8959301000928331979'
PRECISOGPS S.A.S.;1.20013636;981404904;BP-9980;CLARO EMPRESA BAM 1.5;'8959301000928331755'
PRECISOGPS S.A.S.;1.20013636;997756354;BP-9980;CLARO EMPRESA BAM 1.5;'8959301000928332134'
PRECISOGPS S.A.S.;1.20013636;997517614;BP-9980;CLARO EMPRESA BAM 1.5;'8959301000928332100'
PRECISOGPS S.A.S.;1.20013636;981817294;BP-9980;CLARO EMPRESA BAM 1.5;'8959301000928331789'
PRECISOGPS S.A.S.;1.20013636;981824734;BP-9980;CLARO EMPRESA BAM 1.5;'8959301000928331797'
PRECISOGPS S.A.S.;1.20013636;989277064;BP-9980;CLARO EMPRESA BAM 1.5;'8959301000928331862'
PRECISOGPS S.A.S.;1.20013636;997763114;BP-9980;CLARO EMPRESA BAM 1.5;'8959301000928332142'
PRECISOGPS S.A.S.;1.20013636;999555914;BP-9980;CLARO EMPRESA BAM 1.5;'8959301000928332191'
PRECISOGPS S.A.S.;1.20013636;985635374;BP-9980;CLARO EMPRESA BAM 1.5;'8959301000928331847'
PRECISOGPS S.A.S.;1.20013636;990311594;BP-9980;CLARO EMPRESA BAM 1.5;'8959301000928331870'
PRECISOGPS S.A.S.;1.20013636;999471814;BP-9980;CLARO EMPRESA BAM 1.5;'8959301000928332175'
PRECISOGPS S.A.S.;1.20013636;993622924;BP-9980;CLARO EMPRESA BAM 1.5;'8959301000928331995'
PRECISOGPS S.A.S.;1.20013636;993671684;BP-9980;CLARO EMPRESA BAM 1.5;'8959301000928332019'
PRECISOGPS S.A.S.;1.20013636;997631134;BP-9980;CLARO EMPRESA BAM 1.5;'8959301000928332126'
PRECISOGPS S.A.S.;1.20013636;994694794;BP-9980;CLARO EMPRESA BAM 1.5;'8959301000928332035'
PRECISOGPS S.A.S.;1.20013636;980633754;BP-9980;CLARO EMPRESA BAM 1.5;'8959301000928331714'
PRECISOGPS S.A.S.;1.20013636;999649244;BP-9980;CLARO EMPRESA BAM 1.5;'8959301000928331680'
PRECISOGPS S.A.S.;1.20013636;999462454;BP-9980;CLARO EMPRESA BAM 1.5;'8959301000928331672'
PRECISOGPS S.A.S.;1.20013636;997415524;BP-9980;CLARO EMPRESA BAM 1.5;'8959301000927526934'
PRECISOGPS S.A.S.;1.20013636;997488914;BP-9980;CLARO EMPRESA BAM 1.5;'8959301000927527510'
PRECISOGPS S.A.S.;1.20013636;997492404;BP-9980;CLARO EMPRESA BAM 1.5;'8959301000928431563'
PRECISOGPS S.A.S.;1.20013636;997638664;BP-9980;CLARO EMPRESA BAM 1.5;'8959301000927526959'
PRECISOGPS S.A.S.;1.20013636;997638944;BP-9980;CLARO EMPRESA BAM 1.5;'8959301000927515119'
PRECISOGPS S.A.S.;1.20013636;997723124;BP-9980;CLARO EMPRESA BAM 1.5;'8959301000927527858'
PRECISOGPS S.A.S.;1.20013636;997788094;BP-9980;CLARO EMPRESA BAM 1.5;'8959301000928431571'
PRECISOGPS S.A.S.;1.20013636;997792414;BP-9980;CLARO EMPRESA BAM 1.5;'8959301000928431597'
PRECISOGPS S.A.S.;1.20013636;993310718;BP-9980;CLARO EMPRESA BAM 1.5;'8959301000927514997'
PRECISOGPS S.A.S.;1.20013636;997855774;BP-9980;CLARO EMPRESA BAM 1.5;'8959301000927514559'
PRECISOGPS S.A.S.;1.20013636;997858578;BP-9980;CLARO EMPRESA BAM 1.5;'8959301000927526967'
PRECISOGPS S.A.S.;1.20013636;997988624;BP-9980;CLARO EMPRESA BAM 1.5;'8959301000928431639'
PRECISOGPS S.A.S.;1.20013636;999165824;BP-9980;CLARO EMPRESA BAM 1.5;'8959301000928431647'
PRECISOGPS S.A.S.;1.20013636;999340314;BP-9980;CLARO EMPRESA BAM 1.5;'8959301000927526975'
PRECISOGPS S.A.S.;1.20013636;999617064;BP-9980;CLARO EMPRESA BAM 1.5;'8959301000927527882'
PRECISOGPS S.A.S.;1.20013636;999689978;BP-9980;CLARO EMPRESA BAM 1.5;'8959301000927515127'
PRECISOGPS S.A.S.;1.20013636;992020754;BP-9980;CLARO EMPRESA BAM 1.5;'8959301000927515432'
PRECISOGPS S.A.S.;1.20013636;990439518;BP-9980;CLARO EMPRESA BAM 1.5;'8959301000927514906'
PRECISOGPS S.A.S.;1.20013636;990596144;BP-9980;CLARO EMPRESA BAM 1.5;'8959301000928431365'
PRECISOGPS S.A.S.;1.20013636;990623654;BP-9980;CLARO EMPRESA BAM 1.5;'8959301000927515382'
PRECISOGPS S.A.S.;1.20013636;990626014;BP-9980;CLARO EMPRESA BAM 1.5;'8959301000928431373'
PRECISOGPS S.A.S.;1.20013636;991318184;BP-9980;CLARO EMPRESA BAM 1.5;'8959301000928431381'
PRECISOGPS S.A.S.;1.20013636;991337294;BP-9980;CLARO EMPRESA BAM 1.5;'8959301000927527346'
PRECISOGPS S.A.S.;1.20013636;991434738;BP-9980;CLARO EMPRESA BAM 1.5;'8959301000927515390'
PRECISOGPS S.A.S.;1.20013636;991482974;BP-9980;CLARO EMPRESA BAM 1.5;'8959301000928431399'
PRECISOGPS S.A.S.;1.20013636;991641328;BP-9980;CLARO EMPRESA BAM 1.5;'8959301000927515408'
PRECISOGPS S.A.S.;1.20013636;991666114;BP-9980;CLARO EMPRESA BAM 1.5;'8959301000928431407'
PRECISOGPS S.A.S.;1.20013636;991932768;BP-9980;CLARO EMPRESA BAM 1.5;'8959301000927514930'
PRECISOGPS S.A.S.;1.20013636;992386904;BP-9980;CLARO EMPRESA BAM 1.5;'8959301000927515440'
PRECISOGPS S.A.S.;1.20013636;985387678;BP-9980;CLARO EMPRESA BAM 1.5;'8959301000927514724'
PRECISOGPS S.A.S.;1.20013636;985388654;BP-9980;CLARO EMPRESA BAM 1.5;'8959301000928431233'
PRECISOGPS S.A.S.;1.20013636;985403054;BP-9980;CLARO EMPRESA BAM 1.5;'8959301000928431241'
PRECISOGPS S.A.S.;1.20013636;985505454;BP-9980;CLARO EMPRESA BAM 1.5;'8959301000928431258'
PRECISOGPS S.A.S.;1.20013636;992421084;BP-9980;CLARO EMPRESA BAM 1.5;'8959301000928431415'
PRECISOGPS S.A.S.;1.20013636;992438264;BP-9980;CLARO EMPRESA BAM 1.5;'8959301000927515457'
PRECISOGPS S.A.S.;1.20013636;992451628;BP-9980;CLARO EMPRESA BAM 1.5;'8959301000927514971'
PRECISOGPS S.A.S.;1.20013636;992459688;BP-9980;CLARO EMPRESA BAM 1.5;'8959301000927515465'
PRECISOGPS S.A.S.;1.20013636;992462434;BP-9980;CLARO EMPRESA BAM 1.5;'8959301000927527361'
PRECISOGPS S.A.S.;1.20013636;992487154;BP-9980;CLARO EMPRESA BAM 1.5;'8959301000927527379'
PRECISOGPS S.A.S.;1.20013636;992494084;BP-9980;CLARO EMPRESA BAM 1.5;'8959301000927515473'
PRECISOGPS S.A.S.;1.20013636;980541463;BP-9980;CLARO EMPRESA BAM 1.5;'8959301001025790422'
PRECISOGPS S.A.S.;1.20013636;986845460;BP-9980;CLARO EMPRESA BAM 1.5;'8959301001090344345'
PRECISOGPS S.A.S.;1.20013636;993642167;BP-9980;CLARO EMPRESA BAM 1.5;'8959301001090344360'
PRECISOGPS S.A.S.;1.20013636;999542324;BP-9980;CLARO EMPRESA BAM 1.5;'8959301001090344428'
PRECISOGPS S.A.S.;1.20013636;994184787;BP-9980;CLARO EMPRESA BAM 1.5;'8959301001090344394'
PRECISOGPS S.A.S.;1.20013636;986857870;BP-9980;CLARO EMPRESA BAM 1.5;'8959301001090344246'
PRECISOGPS S.A.S.;1.20013636;993641956;BP-9980;CLARO EMPRESA BAM 1.5;'8959301001090344378'
PRECISOGPS S.A.S.;1.20013636;997498281;BP-9980;CLARO EMPRESA BAM 1.5;'8959301001090344352'
PRECISOGPS S.A.S.;1.20013636;994161100;BP-9980;CLARO EMPRESA BAM 1.5;'8959301000971874545'
PRECISOGPS S.A.S.;1.20013636;994159768;BP-9980;CLARO EMPRESA BAM 1.5;'8959301000971874529'
PRECISOGPS S.A.S.;1.20013636;994162391;BP-9980;CLARO EMPRESA BAM 1.5;'8959301000971874560'
PRECISOGPS S.A.S.;1.20013636;994162515;BP-9980;CLARO EMPRESA BAM 1.5;'8959301000971874578'
PRECISOGPS S.A.S.;1.20013636;994163323;BP-9980;CLARO EMPRESA BAM 1.5;'8959301000971874586'
PRECISOGPS S.A.S.;1.20013636;997491024;BP-9980;CLARO EMPRESA BAM 1.5;'8959301000971874875'
PRECISOGPS S.A.S.;1.20013636;999387224;BP-9980;CLARO EMPRESA BAM 1.5;'8959301000971874891'
PRECISOGPS S.A.S.;1.20013636;994164985;BP-9980;CLARO EMPRESA BAM 1.5;'8959301000971874636'
PRECISOGPS S.A.S.;1.20013636;994165208;BP-9980;CLARO EMPRESA BAM 1.5;'8959301000971874644'
PRECISOGPS S.A.S.;1.20013636;994168033;BP-9980;CLARO EMPRESA BAM 1.5;'8959301000971874693'
PRECISOGPS S.A.S.;1.20013636;994170335;BP-9980;CLARO EMPRESA BAM 1.5;'8959301000971874743'
PRECISOGPS S.A.S.;1.20013636;994170667;BP-9980;CLARO EMPRESA BAM 1.5;'8959301000971874768'
PRECISOGPS S.A.S.;1.20013636;994170717;BP-9980;CLARO EMPRESA BAM 1.5;'8959301000971874776'
PRECISOGPS S.A.S.;1.20013636;994171175;BP-9980;CLARO EMPRESA BAM 1.5;'8959301000971874784'
PRECISOGPS S.A.S.;1.20013636;994171297;BP-9980;CLARO EMPRESA BAM 1.5;'8959301000971874792'
PRECISOGPS S.A.S.;1.20013636;994171816;BP-9980;CLARO EMPRESA BAM 1.5;'8959301000971874800'
PRECISOGPS S.A.S.;1.20013636;994172482;BP-9980;CLARO EMPRESA BAM 1.5;'8959301000971874818'
PRECISOGPS S.A.S.;1.20013636;994173267;BP-9980;CLARO EMPRESA BAM 1.5;'8959301000971874826'
PRECISOGPS S.A.S.;1.20013636;994184588;BP-9980;CLARO EMPRESA BAM 1.5;'8959301000971875096'
PRECISOGPS S.A.S.;1.20013636;994186328;BP-9980;CLARO EMPRESA BAM 1.5;'8959301000971875112'
PRECISOGPS S.A.S.;1.20013636;994188792;BP-9980;CLARO EMPRESA BAM 1.5;'8959301000971875120'
